bin, Red Channel, Green Channel, Blue Channel
0,75,124,75
1,0,39,0
2,0,33,0
3,0,36,0
4,0,32,0
5,0,33,0
6,0,25,0
7,0,39,0
8,0,45,0
9,0,42,0
10,0,41,0
11,0,44,0
12,0,53,0
13,0,45,0
14,0,52,0
15,0,63,0
16,0,58,0
17,0,58,0
18,0,68,0
19,0,80,0
20,0,79,0
21,0,105,0
22,0,79,0
23,0,84,0
24,0,102,0
25,0,90,0
26,0,90,0
27,0,93,0
28,0,120,0
29,0,116,0
30,0,114,0
31,0,98,0
32,0,113,0
33,0,115,0
34,0,98,0
35,0,120,0
36,0,91,0
37,0,96,0
38,0,82,0
39,0,89,0
40,0,78,0
41,0,80,0
42,0,86,0
43,0,83,0
44,0,70,0
45,0,56,0
46,0,68,0
47,0,61,0
48,0,41,0
49,0,46,0
50,0,48,0
51,0,36,0
52,0,23,0
53,0,27,0
54,0,28,0
55,0,30,0
56,0,22,0
57,0,17,0
58,0,25,0
59,0,7,0
60,0,17,0
61,0,15,0
62,0,10,0
63,0,12,0
64,0,7,0
65,0,9,0
66,0,4,0
67,0,5,0
68,0,3,0
69,0,3,0
70,0,2,0
71,0,3,0
72,1,1,0
73,0,2,0
74,0,3,0
75,0,1,0
76,1,1,0
77,0,2,0
78,1,1,0
79,1,1,0
80,1,1,0
81,0,0,0
82,2,2,0
83,1,0,0
84,0,0,0
85,1,0,0
86,7,0,0
87,1,0,0
88,3,0,0
89,2,0,0
90,3,0,0
91,3,0,0
92,5,0,0
93,8,0,0
94,9,0,0
95,10,0,0
96,8,0,0
97,12,0,1
98,4,0,0
99,13,0,1
100,10,0,0
101,11,0,2
102,22,0,1
103,18,0,2
104,25,0,2
105,17,0,2
106,21,0,4
107,23,0,2
108,25,0,4
109,37,0,3
110,26,0,10
111,38,0,5
112,49,0,6
113,54,0,5
114,50,0,12
115,50,0,10
116,59,0,12
117,66,0,6
118,65,0,8
119,59,0,9
120,66,0,8
121,104,0,13
122,96,0,11
123,91,0,13
124,72,0,11
125,101,0,12
126,100,0,16
127,106,0,20
128,102,0,24
129,112,0,25
130,125,0,30
131,125,0,23
132,105,0,37
133,126,0,44
134,149,0,32
135,122,0,35
136,106,0,49
137,138,0,51
138,124,0,53
139,105,0,53
140,105,0,62
141,120,0,81
142,94,0,68
143,88,0,79
144,88,0,107
145,73,0,79
146,60,0,85
147,63,0,95
148,54,0,105
149,56,0,111
150,40,0,101
151,35,0,127
152,24,0,134
153,26,0,102
154,24,0,98
155,16,0,128
156,13,0,100
157,7,0,131
158,4,0,110
159,8,0,111
160,6,0,101
161,6,0,102
162,5,0,96
163,1,0,90
164,2,0,109
165,0,0,91
166,1,0,70
167,2,0,63
168,0,0,68
169,2,0,61
170,0,0,62
171,1,0,63
172,0,0,58
173,0,0,42
174,0,0,47
175,0,0,25
176,0,0,34
177,0,0,18
178,0,0,27
179,0,0,22
180,0,0,14
181,0,0,13
182,0,0,15
183,0,0,4
184,0,0,11
185,0,0,7
186,0,0,8
187,0,0,3
188,0,0,3
189,0,0,3
190,0,0,2
191,0,0,2
192,0,0,2
193,0,0,0
194,0,0,0
195,0,0,1
196,0,0,0
197,0,0,2
198,0,0,0
199,0,0,1
200,0,0,0
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
209,0,0,0
210,0,0,0
211,0,0,0
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,0,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,75,0
