bin, Red Channel, Green Channel, Blue Channel
0,13,0,13
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,1
84,0,0,4
85,0,0,1
86,0,0,5
87,0,0,3
88,0,0,4
89,0,0,2
90,0,1,2
91,0,1,5
92,0,3,4
93,0,4,3
94,0,1,6
95,0,3,4
96,0,4,6
97,0,3,6
98,0,6,3
99,0,4,1
100,0,3,1
101,3,4,0
102,2,11,3
103,4,3,0
104,1,2,7
105,2,5,6
106,8,0,1
107,6,1,3
108,5,1,1
109,7,1,4
110,1,3,2
111,4,6,0
112,2,2,4
113,4,4,6
114,2,2,2
115,4,3,2
116,2,0,2
117,2,2,3
118,6,4,3
119,0,2,5
120,1,1,2
121,1,3,3
122,1,6,3
123,3,1,5
124,5,3,2
125,3,3,3
126,3,1,3
127,1,3,0
128,1,6,6
129,1,5,5
130,2,3,3
131,5,3,7
132,2,4,4
133,2,2,5
134,5,4,4
135,3,5,3
136,1,4,3
137,3,5,4
138,3,5,6
139,3,9,8
140,3,7,7
141,7,5,5
142,5,6,8
143,1,12,13
144,1,8,13
145,7,6,23
146,5,12,24
147,2,8,33
148,2,14,52
149,4,13,65
150,6,20,54
151,8,29,58
152,8,37,59
153,4,46,70
154,12,55,66
155,5,53,73
156,6,87,56
157,8,81,73
158,10,91,88
159,7,112,111
160,8,139,127
161,9,137,149
162,8,151,156
163,15,140,172
164,12,132,189
165,17,178,155
166,26,204,146
167,34,240,184
168,52,238,167
169,42,285,184
170,55,323,257
171,77,514,354
172,83,529,435
173,106,494,482
174,96,595,467
175,128,473,535
176,139,461,455
177,101,446,518
178,126,543,477
179,136,479,534
180,140,396,544
181,165,471,466
182,203,471,485
183,245,589,574
184,286,559,575
185,348,512,541
186,346,605,562
187,498,534,637
188,543,490,440
189,500,446,579
190,598,451,460
191,482,341,306
192,541,252,233
193,485,80,76
194,576,35,34
195,569,19,19
196,496,5,5
197,616,0,0
198,577,0,0
199,535,0,0
200,571,0,0
201,573,0,0
202,520,0,0
203,454,0,0
204,615,0,0
205,438,0,0
206,265,0,0
207,84,0,0
208,36,0,0
209,19,0,0
210,5,0,0
211,0,0,0
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,0,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,13,0
