bin, Red Channel, Green Channel, Blue Channel
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,1
65,0,0,0
66,0,1,0
67,0,1,1
68,0,0,2
69,0,2,1
70,0,2,1
71,0,3,1
72,1,0,2
73,0,6,0
74,1,1,1
75,2,1,4
76,1,2,5
77,1,6,4
78,1,5,1
79,1,4,5
80,1,3,3
81,1,7,4
82,2,10,6
83,4,6,3
84,1,4,6
85,4,7,7
86,3,14,4
87,5,14,5
88,8,14,10
89,4,14,10
90,4,11,13
91,4,11,15
92,10,12,11
93,13,11,16
94,2,13,15
95,9,14,13
96,11,22,16
97,13,17,17
98,16,28,13
99,14,20,16
100,13,17,20
101,11,21,29
102,12,13,15
103,16,23,23
104,19,23,30
105,21,20,15
106,20,35,12
107,28,21,36
108,15,27,22
109,19,19,22
110,26,25,29
111,14,22,28
112,21,23,23
113,29,26,27
114,28,29,25
115,25,29,32
116,30,27,21
117,15,25,30
118,24,18,20
119,26,29,20
120,38,26,32
121,26,23,24
122,20,28,33
123,28,35,23
124,24,25,38
125,30,31,26
126,25,25,26
127,36,34,25
128,33,31,30
129,26,25,26
130,29,31,31
131,27,30,31
132,25,41,36
133,33,28,37
134,36,25,36
135,25,31,27
136,30,41,48
137,37,32,44
138,36,35,37
139,36,46,39
140,31,40,49
141,42,41,48
142,38,42,44
143,47,42,41
144,48,52,37
145,40,53,58
146,51,61,48
147,45,62,56
148,56,58,63
149,42,54,63
150,50,52,53
151,59,67,52
152,57,52,64
153,52,69,62
154,46,53,73
155,62,55,50
156,58,49,54
157,50,60,57
158,64,48,56
159,67,78,62
160,60,56,69
161,62,55,58
162,65,43,46
163,61,57,56
164,68,41,41
165,52,55,62
166,50,52,40
167,58,32,53
168,53,51,56
169,56,48,45
170,67,48,54
171,45,42,48
172,63,50,34
173,46,35,38
174,54,37,44
175,41,49,46
176,43,43,51
177,47,37,37
178,53,48,37
179,44,41,47
180,37,45,43
181,43,31,58
182,54,42,66
183,54,41,46
184,47,49,45
185,56,43,44
186,51,37,48
187,56,65,51
188,47,48,51
189,43,46,43
190,43,41,49
191,46,42,49
192,46,40,61
193,47,36,56
194,62,33,75
195,49,46,92
196,62,36,93
197,52,54,97
198,52,38,139
199,66,32,136
200,60,50,134
201,71,42,136
202,82,49,114
203,85,46,114
204,89,49,127
205,80,51,160
206,98,51,209
207,108,47,251
208,119,44,247
209,157,50,243
210,144,49,150
211,161,56,132
212,143,69,100
213,233,53,92
214,194,62,65
215,195,62,60
216,228,83,68
217,187,95,51
218,150,93,54
219,141,132,56
220,71,137,54
221,73,189,38
222,54,191,40
223,55,182,35
224,41,252,33
225,36,220,18
226,39,186,13
227,49,133,10
228,40,137,13
229,36,56,7
230,26,57,12
231,30,48,8
232,21,45,3
233,18,33,5
234,6,35,2
235,13,42,1
236,3,42,5
237,6,37,0
238,3,26,0
239,3,34,0
240,1,20,0
241,1,17,0
242,4,11,0
243,2,4,0
244,1,5,0
245,0,3,0
246,1,1,0
247,1,2,0
248,0,1,0
249,0,1,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
