# PPM,R,G,B,R_std,G_std,B_std,H,S,V,H_std,S_std,V_std,L,a,b,L_std,a_std,b_std
0,188.76812949640288,163.04510791366906,174.01654676258994,10.932486343567755,11.04144812906875,13.485665702591692,162.55755395683454,35.4389928057554,188.98827338129496,26.49016779298172,8.098233513299025,9.617441771459859,177.38525179856114,139.33028776978418,125.89035971223022,10.033927972041072,3.2011986159966788,3.2547796420171258
1,202.3354347826087,178.15891304347826,190.18130434782609,9.65987619715167,10.339436616332788,11.79487845291195,163.49347826086955,30.838840579710144,202.4463043478261,15.86146870094244,6.220335872434021,8.758251643416132,191.30905797101448,138.8009420289855,125.03608695652174,9.27431730271409,2.416731949447423,2.3842482590020917
2,176.9489788394898,166.8962618889626,168.25363120253633,8.873249088611889,6.3911379724500135,8.730168681984427,105.63031777630317,15.934232839342329,177.1389810513898,80.17801031916409,7.189882745745332,7.747836950906847,176.86197743861976,131.85976553859766,128.50062670500625,6.086328867484449,2.9388477712192094,2.681840602396706
3,192.41448529411764,183.35970588235296,189.83889705882353,7.181515008917906,4.174152950560303,7.03899863082081,157.77632352941177,12.337794117647059,192.6245588235294,9.219199819241007,7.476306564070616,4.971322150395243,192.63316176470587,132.3439705882353,125.65433823529412,3.672101138033895,2.748139819900578,2.6740314910278546
4,192.38246376811594,183.24333333333334,189.71557971014494,6.945123178089226,4.265134065774934,6.948728641730076,157.6673188405797,12.440289855072464,192.57275362318842,10.741055128578026,7.065648676542861,4.914168773699161,192.53094202898552,132.40260869565216,125.66144927536232,3.7932891520212713,2.578746832027623,2.571813365420875
5,217.1808695652174,205.7818115942029,213.05521739130435,8.32096422421512,4.4927964461493515,8.35024049097323,160.4972463768116,13.887173913043478,217.4227536231884,5.7475634116712895,7.938674960544395,5.104400313698649,213.83456521739132,133.15528985507245,125.61797101449275,4.016589803744439,3.0299736192540254,2.809893793294441
6,201.69247216692472,203.0,196.8667698886677,8.185700912743314,5.611839056399193,8.174884945728552,35.487502764875025,7.655164786551648,203.0011796800118,2.354998350758651,7.439788562873255,5.6086454178280984,207.83307527833074,126.73943817739438,130.91034431910344,5.072678903192571,2.5621979632588787,2.433680981187014
7,204.99615942028984,207.77159420289854,201.39710144927537,7.844331454916039,5.351405510403598,7.076506773835719,42.651304347826084,7.726086956521739,207.7731884057971,9.14895288425877,5.74703835949283,5.349590799129074,211.92673913043478,125.95601449275362,130.71695652173912,5.043211345073445,2.0970700885549105,1.9459812206578762
8,205.43234323432344,209.0729659922514,202.53350552446548,7.4285842683725525,4.03488512902656,7.267458990256934,46.29279667097145,7.789639833548573,209.07404218682737,9.923180677805291,7.663355751876745,4.032170713722318,212.9797675419716,125.59764672119385,130.66982350408955,3.385694653354576,2.7018273554085845,2.5568374391397164
9,223.0599424905994,220.8088181080882,221.11619848116197,7.2301576767459546,2.5901893717759967,7.220109174687765,116.41856521418565,3.4499741944997417,223.32743493327436,79.34572123921151,8.119820849971013,2.322943681948495,225.2779621027796,129.02661653026615,128.13308265133082,2.0124233129959106,2.8478250914381578,2.5848540780683487
