# PPM Values, R, G, B, R_std, G_std,B_std,H,S,V,H_std,S_std,V_std,L,a,b,L_std,a_std,b_std
10,239.69117647058823,215.10749299719888,212.0392156862745,7.992503876993749,6.674872391741237,8.26698251752573,135.0105633802817,248.69843527738266,239.69117647058823,50.78319591170436,25.575539197307428,7.992503876993749,224.34768907563026,134.2730448804085,131.71539908626713,6.274915177590777,3.516406297561622,2.246416575667028
20,236.29151943462898,215.21837455830388,211.4876325088339,9.18461027421405,8.41719266384413,9.586339425571406,114.76149425287356,246.95317220543808,236.29151943462898,48.288500928328055,29.214012600688477,9.18461027421405,223.6505300353357,133.2343456060199,131.44611663531307,7.738695715677153,3.045725639957021,2.1169417065734013
30,233.2452619843924,210.54089219330854,199.7654275092937,7.753498079900984,5.147923458309733,6.06161010050501,98.59633027522936,249.16949152542372,233.32453531598512,38.55738467710984,24.53392845640839,6.574810573525983,219.39330855018588,132.94564582115723,134.54237288135593,4.892900537574419,2.694339485083707,3.5103319127954933
40,231.12468738835298,211.55503931379556,204.06790564689064,7.199437378812425,5.642399986482779,6.437223603568085,99.48106060606061,249.75581395348837,231.20014295925662,39.197726496717614,22.758120913793572,5.992845387104878,219.80771979985704,132.48559322033898,132.93333333333334,5.078179125954839,2.5369732207230533,2.628089608552913
50,232.03077467279803,214.02617615847188,205.40360806508667,7.216014169150184,6.298608303403254,8.066281910203523,100.70204081632653,248.0873786407767,232.03077467279803,30.374751127196916,26.821876834913063,7.216014169150184,221.6087725504068,131.81444444444443,133.11805555555554,5.916268196605007,2.16756704938515,2.8396413304856774
60,237.1875871687587,220.94002789400278,212.51569037656904,6.741777317799226,5.966891590873883,6.4086841234555285,95.99553571428571,249.10873146622734,237.1875871687587,31.711238680341417,26.066725420991393,6.741777317799226,227.53347280334728,131.18494623655914,132.76182795698924,5.505157547902156,1.8294747020064352,2.6522955957793335
70,232.7724505327245,217.08637747336377,205.2001522070015,5.407796580669715,4.568329210812879,5.501027990934614,99.8359375,250.73548387096776,232.7724505327245,30.862795498724573,20.73605060416139,5.407796580669715,223.7587519025875,130.70810647307925,134.07743496672717,4.25808608090417,1.482640295680895,3.2262992500280183
80,239.87573746312685,223.30014749262537,220.81379056047197,5.933229865683529,4.713380812146503,5.009318905513806,138.02369668246445,249.004662004662,239.87573746312685,47.038900988859766,23.42114631728834,5.933229865683529,230.0693215339233,132.2726228095375,130.43119793162884,4.365364127362406,2.4229749303874573,1.414190395307966
90,233.7356608478803,217.52155325970787,210.83612397577485,7.1938366811399925,6.579281263237382,7.9507438272199655,113.4888888888889,246.28776978417267,233.7356608478803,36.827056612841496,29.30771858073283,7.1938366811399925,224.5393658710367,131.53555555555556,132.08138888888888,6.0431119483586935,2.059493525177225,2.524609598837652
